"bill_id","govtrack_id","sponsor_title"
s2168-109,300091,Sen
hr5329-101,400128,Rep
hr2941-115,412630,Rep
s31-103,300071,Sen
hr5581-100,403695,Rep
hconres238-99,412007,Rep
s3006-114,300075,Sen.
hr2610-96,411025,Rep
sres69-106,400558,Sen
hr253-93,400680,Rep
s142-104,406188,Sen
hr5572-93,407783,Rep
s1649-100,300031,Sen
hr2836-110,400128,Rep
hr4314-96,300031,Rep
hconres121-99,402100,Rep
hconres520-95,408065,Rep
s370-107,300048,Sen
s1066-104,401709,Sen
hr5310-100,403695,Rep
hr1942-108,400316,Rep
s3993-93,405969,Sen
s18-111,412384,Sen
hr2334-103,400188,Rep
s490-100,401391,Sen
hr13495-93,404365,Rep
hr6742-94,410186,Rep
hr4555-97,300091,Rep
s536-110,300061,Sen
s867-101,300048,Sen
hr4724-116,412730,Rep
hr1698-116,400316,Rep
hr2731-106,400518,Rep
hr2009-103,400015,Rep
s454-99,300048,Sen
hr4156-94,404297,Rep
hr12910-93,404297,Rep
s1297-105,400558,Sen
hr1108-103,406799,Rep
hr632-103,300091,Rep
hr6532-110,400333,Rep
hr9206-95,401034,Rep
hr6922-116,412713,Rep
hr6535-111,400350,Rep
sres766-116,412549,Sen
s753-106,300031,Sen
sres338-112,300082,Sen
s1047-113,300048,Sen
hr6046-117,412641,Rep.
hres139-96,411025,Rep
hr6808-97,401034,Rep
hr2826-108,400002,Rep
s3689-93,404343,Sen
s2298-106,300057,Sen
hres671-117,412463,Rep.
hr1731-96,400333,Rep
hr970-115,400271,Rep
hr3532-103,400043,Rep
hr1546-101,411025,Rep
hr4792-101,405646,Rep
hr2092-96,407485,Rep
hr1203-117,456827,Rep.
hr4496-98,300031,Rep
hr4734-116,412427,Rep
hjres4-106,400121,Rep
hr3928-97,405646,Rep
hr495-101,400333,Rep
hr1382-108,400368,Rep
hr2489-111,400443,Rep
s1347-93,405721,Sen
hr3255-110,400191,Rep
hr707-104,400174,Rep
hconres65-111,400333,Rep
hr2534-98,400191,Rep
hres1453-111,412274,Rep
hr5960-110,412231,Rep
hr430-106,400571,Rep
s1022-108,300061,Sen
hr900-111,400368,Rep
hr8172-96,407485,Rep
hr11856-95,300057,Rep
hr4779-103,400043,Rep
hconres232-106,400191,Rep
hr3300-109,400158,Rep
s1773-101,401391,Sen
s2092-94,401391,Sen
s2001-102,300082,Sen
sres99-106,300082,Sen
s209-104,300048,Sen
s1446-93,405969,Sen
hres458-101,400083,Rep
hr3532-116,412819,Rep
hres1311-93,408065,Rep
hr2285-104,400322,Rep
hr4901-101,400333,Rep
sres217-110,400418,Sen
s2570-105,300061,Sen
sres416-97,300048,Sen
s1318-100,401709,Sen
s519-110,300071,Sen
hres281-105,400082,Rep
hr2818-115,412411,Rep
hjres69-93,402418,Rep
s1005-103,407992,Sen
s806-95,407481,Sen
hr8839-116,400350,Rep
hr4524-106,400382,Rep
s698-99,401709,Sen
hjres35-97,404880,Rep
s1219-104,300071,Sen
s883-114,300075,Sen.
hr2939-114,400333,Rep.
s350-96,406918,Sen
s4318-116,300048,Sen
hr3233-102,403695,Rep
hres150-114,412195,Rep.
hr4031-98,402100,Rep
hr5360-106,400322,Rep
s2693-107,300037,Sen
s418-96,406188,Sen
sres579-110,400418,Sen
hr3483-105,400333,Rep
sjres201-94,405969,Sen
s2287-99,401709,Sen
s471-111,300091,Sen
s1918-108,300085,Sen
hr15629-93,404297,Rep
hr367-93,402418,Rep
hr3943-102,400898,Rep
hr1977-113,412308,Rep
s2443-109,300071,Sen
s3721-115,300048,Sen
s3047-96,401391,Sen
hr1035-99,300031,Rep
hr2595-104,400316,Rep
hr6352-115,412308,Rep
sres315-95,406918,Sen
hr4334-96,407783,Rep
hr2356-107,400370,Rep
s1420-111,400418,Sen
hr3504-105,400374,Rep
sres260-111,300091,Sen
s725-93,401391,Sen
hr701-116,400655,Rep
s1560-97,300048,Sen
hr1744-97,407783,Rep
hr5128-100,403695,Rep
sconres52-96,405252,Sen
s1694-105,400558,Sen
hjres136-96,407783,Rep
hr3612-113,412308,Rep
hr4398-107,400291,Rep
hr4780-102,300037,Rep
hr6470-111,400128,Rep
sjres303-101,300048,Sen
s1354-117,300075,Sen.
hres266-109,400174,Rep
hr4053-109,400384,Rep
hr2557-99,403695,Rep
s2408-113,300075,Sen
hr3631-109,400174,Rep
sres323-108,300045,Sen
hr5348-117,412775,Rep.
s654-103,300071,Sen
hr2286-108,400333,Rep
s1508-94,407481,Sen
sjres125-101,300082,Sen
s304-111,300037,Sen
s789-105,300048,Sen
s2538-110,400418,Sen
s3628-109,300091,Sen
s2279-105,300071,Sen
s2496-109,300061,Sen
hr3213-103,400174,Rep
hr8534-93,411479,Rep
